Question,Answer
"In 2004, Non-OECD (EI) consumed how much of coal in terms of TWh?",20400.48 TWh
"In 2005, Non-OECD (EI) consumed how much of coal in terms of TWh?",22811.90 TWh
"In 2006, Non-OECD (EI) consumed how much of coal in terms of TWh?",24581.77 TWh
"In 2007, Non-OECD (EI) consumed how much of coal in terms of TWh?",26529.47 TWh
"In 2008, Non-OECD (EI) consumed how much of coal in terms of TWh?",27324.24 TWh
"In 2009, Non-OECD (EI) consumed how much of coal in terms of TWh?",28148.02 TWh
"In 2010, Non-OECD (EI) consumed how much of coal in terms of TWh?",29212.65 TWh
"In 2011, Non-OECD (EI) consumed how much of coal in terms of TWh?",31407.71 TWh
"In 2012, Non-OECD (EI) consumed how much of coal in terms of TWh?",32033.12 TWh
"In 2013, Non-OECD (EI) consumed how much of coal in terms of TWh?",32572.78 TWh
"In 2014, Non-OECD (EI) consumed how much of coal in terms of TWh?",32955.93 TWh
"In 2015, Non-OECD (EI) consumed how much of coal in terms of TWh?",32509.08 TWh
"In 2016, Non-OECD (EI) consumed how much of coal in terms of TWh?",32179.27 TWh
"In 2017, Non-OECD (EI) consumed how much of coal in terms of TWh?",32713.52 TWh
"In 2018, Non-OECD (EI) consumed how much of coal in terms of TWh?",33740.91 TWh
"In 2019, Non-OECD (EI) consumed how much of coal in terms of TWh?",34629.73 TWh
"In 2020, Non-OECD (EI) consumed how much of coal in terms of TWh?",34635.62 TWh
"In 2021, Non-OECD (EI) consumed how much of coal in terms of TWh?",36277.11 TWh
"In 2022, Non-OECD (EI) consumed how much of coal in terms of TWh?",36846.72 TWh
"In 2023, Non-OECD (EI) consumed how much of coal in terms of TWh?",38578.91 TWh
"In 1965, North America consumed how much of coal in terms of TWh?",3412.83 TWh
"In 1966, North America consumed how much of coal in terms of TWh?",3566.43 TWh
"In 1967, North America consumed how much of coal in terms of TWh?",3502.90 TWh
"In 1968, North America consumed how much of coal in terms of TWh?",3634.59 TWh
"In 1969, North America consumed how much of coal in terms of TWh?",3642.35 TWh
"In 1970, North America consumed how much of coal in terms of TWh?",3624.51 TWh
"In 1971, North America consumed how much of coal in terms of TWh?",3432.42 TWh
"In 1972, North America consumed how much of coal in terms of TWh?",3556.75 TWh
"In 1973, North America consumed how much of coal in terms of TWh?",3812.29 TWh
"In 1974, North America consumed how much of coal in terms of TWh?",3731.26 TWh
"In 1975, North America consumed how much of coal in terms of TWh?",3729.36 TWh
"In 1976, North America consumed how much of coal in terms of TWh?",4013.34 TWh
"In 1977, North America consumed how much of coal in terms of TWh?",4174.83 TWh
"In 1978, North America consumed how much of coal in terms of TWh?",4084.03 TWh
"In 1979, North America consumed how much of coal in terms of TWh?",4426.28 TWh
"In 1980, North America consumed how much of coal in terms of TWh?",4579.55 TWh
"In 1981, North America consumed how much of coal in terms of TWh?",4716.78 TWh
"In 1982, North America consumed how much of coal in terms of TWh?",4573.80 TWh
"In 1983, North America consumed how much of coal in terms of TWh?",4751.34 TWh
"In 1984, North America consumed how much of coal in terms of TWh?",5111.61 TWh
"In 1985, North America consumed how much of coal in terms of TWh?",5217.15 TWh
"In 1986, North America consumed how much of coal in terms of TWh?",5136.49 TWh
"In 1987, North America consumed how much of coal in terms of TWh?",5366.75 TWh
"In 1988, North America consumed how much of coal in terms of TWh?",5620.67 TWh
"In 1989, North America consumed how much of coal in terms of TWh?",5685.65 TWh
"In 1990, North America consumed how much of coal in terms of TWh?",5696.63 TWh
"In 1991, North America consumed how much of coal in terms of TWh?",5635.02 TWh
"In 1992, North America consumed how much of coal in terms of TWh?",5677.26 TWh
"In 1993, North America consumed how much of coal in terms of TWh?",5845.82 TWh
"In 1994, North America consumed how much of coal in terms of TWh?",5891.26 TWh
"In 1995, North America consumed how much of coal in terms of TWh?",5960.48 TWh
"In 1996, North America consumed how much of coal in terms of TWh?",6229.24 TWh
"In 1997, North America consumed how much of coal in terms of TWh?",6367.10 TWh
"In 1998, North America consumed how much of coal in terms of TWh?",6449.97 TWh
"In 1999, North America consumed how much of coal in terms of TWh?",6428.93 TWh
"In 2000, North America consumed how much of coal in terms of TWh?",6722.44 TWh
"In 2001, North America consumed how much of coal in terms of TWh?",6558.84 TWh
"In 2002, North America consumed how much of coal in terms of TWh?",6621.08 TWh
"In 2003, North America consumed how much of coal in terms of TWh?",6703.88 TWh
"In 2004, North America consumed how much of coal in terms of TWh?",6726.99 TWh
"In 2005, North America consumed how much of coal in terms of TWh?",6845.31 TWh
"In 2006, North America consumed how much of coal in terms of TWh?",6749.26 TWh
"In 2007, North America consumed how much of coal in terms of TWh?",6837.88 TWh
"In 2008, North America consumed how much of coal in terms of TWh?",6706.34 TWh
"In 2009, North America consumed how much of coal in terms of TWh?",5902.08 TWh
"In 2010, North America consumed how much of coal in terms of TWh?",6254.49 TWh
"In 2011, North America consumed how much of coal in terms of TWh?",5924.31 TWh
"In 2012, North America consumed how much of coal in terms of TWh?",5254.53 TWh
"In 2013, North America consumed how much of coal in terms of TWh?",5431.32 TWh
"In 2014, North America consumed how much of coal in terms of TWh?",5409.32 TWh
"In 2015, North America consumed how much of coal in terms of TWh?",4713.27 TWh
"In 2016, North America consumed how much of coal in terms of TWh?",4341.47 TWh
"In 2017, North America consumed how much of coal in terms of TWh?",4270.62 TWh
"In 2018, North America consumed how much of coal in terms of TWh?",4047.92 TWh
"In 2019, North America consumed how much of coal in terms of TWh?",3498.60 TWh
"In 2020, North America consumed how much of coal in terms of TWh?",2803.00 TWh
"In 2021, North America consumed how much of coal in terms of TWh?",3154.99 TWh
"In 2022, North America consumed how much of coal in terms of TWh?",2960.75 TWh
"In 2023, North America consumed how much of coal in terms of TWh?",2486.68 TWh
"In 1965, North America (EI) consumed how much of coal in terms of TWh?",3412.25 TWh
"In 1966, North America (EI) consumed how much of coal in terms of TWh?",3565.85 TWh
"In 1967, North America (EI) consumed how much of coal in terms of TWh?",3502.32 TWh
"In 1968, North America (EI) consumed how much of coal in terms of TWh?",3634.01 TWh
"In 1969, North America (EI) consumed how much of coal in terms of TWh?",3641.76 TWh
"In 1970, North America (EI) consumed how much of coal in terms of TWh?",3624.04 TWh
"In 1971, North America (EI) consumed how much of coal in terms of TWh?",3432.04 TWh
"In 1972, North America (EI) consumed how much of coal in terms of TWh?",3556.36 TWh
"In 1973, North America (EI) consumed how much of coal in terms of TWh?",3811.96 TWh
"In 1974, North America (EI) consumed how much of coal in terms of TWh?",3730.91 TWh
"In 1975, North America (EI) consumed how much of coal in terms of TWh?",3728.92 TWh
"In 1976, North America (EI) consumed how much of coal in terms of TWh?",4013.00 TWh
"In 1977, North America (EI) consumed how much of coal in terms of TWh?",4174.18 TWh
"In 1978, North America (EI) consumed how much of coal in terms of TWh?",4083.38 TWh
"In 1979, North America (EI) consumed how much of coal in terms of TWh?",4425.73 TWh
"In 1980, North America (EI) consumed how much of coal in terms of TWh?",4578.91 TWh
"In 1981, North America (EI) consumed how much of coal in terms of TWh?",4716.15 TWh
"In 1982, North America (EI) consumed how much of coal in terms of TWh?",4572.66 TWh
"In 1983, North America (EI) consumed how much of coal in terms of TWh?",4748.99 TWh
"In 1984, North America (EI) consumed how much of coal in terms of TWh?",5109.71 TWh
"In 1985, North America (EI) consumed how much of coal in terms of TWh?",5213.41 TWh
"In 1986, North America (EI) consumed how much of coal in terms of TWh?",5133.54 TWh
"In 1987, North America (EI) consumed how much of coal in terms of TWh?",5362.12 TWh
"In 1988, North America (EI) consumed how much of coal in terms of TWh?",5616.31 TWh
"In 1989, North America (EI) consumed how much of coal in terms of TWh?",5681.65 TWh
"In 1990, North America (EI) consumed how much of coal in terms of TWh?",5692.84 TWh
"In 1991, North America (EI) consumed how much of coal in terms of TWh?",5631.06 TWh
"In 1992, North America (EI) consumed how much of coal in terms of TWh?",5673.62 TWh
"In 1993, North America (EI) consumed how much of coal in terms of TWh?",5842.05 TWh
"In 1994, North America (EI) consumed how much of coal in terms of TWh?",5888.43 TWh
"In 1995, North America (EI) consumed how much of coal in terms of TWh?",5957.55 TWh
"In 1996, North America (EI) consumed how much of coal in terms of TWh?",6226.63 TWh
"In 1997, North America (EI) consumed how much of coal in terms of TWh?",6364.28 TWh
"In 1998, North America (EI) consumed how much of coal in terms of TWh?",6446.90 TWh
"In 1999, North America (EI) consumed how much of coal in terms of TWh?",6425.33 TWh
"In 2000, North America (EI) consumed how much of coal in terms of TWh?",6717.91 TWh
"In 2001, North America (EI) consumed how much of coal in terms of TWh?",6554.11 TWh
"In 2002, North America (EI) consumed how much of coal in terms of TWh?",6609.83 TWh
"In 2003, North America (EI) consumed how much of coal in terms of TWh?",6688.21 TWh
"In 2004, North America (EI) consumed how much of coal in terms of TWh?",6710.56 TWh
"In 2005, North America (EI) consumed how much of coal in terms of TWh?",6828.73 TWh
"In 2006, North America (EI) consumed how much of coal in terms of TWh?",6730.31 TWh
"In 2007, North America (EI) consumed how much of coal in terms of TWh?",6818.20 TWh
"In 2008, North America (EI) consumed how much of coal in terms of TWh?",6685.83 TWh
"In 2009, North America (EI) consumed how much of coal in terms of TWh?",5882.20 TWh
"In 2010, North America (EI) consumed how much of coal in terms of TWh?",6235.65 TWh
"In 2011, North America (EI) consumed how much of coal in terms of TWh?",5903.12 TWh
"In 2012, North America (EI) consumed how much of coal in terms of TWh?",5233.08 TWh
"In 2013, North America (EI) consumed how much of coal in terms of TWh?",5409.84 TWh
"In 2014, North America (EI) consumed how much of coal in terms of TWh?",5386.39 TWh
"In 2015, North America (EI) consumed how much of coal in terms of TWh?",4691.14 TWh
"In 2016, North America (EI) consumed how much of coal in terms of TWh?",4319.00 TWh
"In 2017, North America (EI) consumed how much of coal in terms of TWh?",4250.95 TWh
"In 2018, North America (EI) consumed how much of coal in terms of TWh?",4027.96 TWh
"In 2019, North America (EI) consumed how much of coal in terms of TWh?",3470.03 TWh
"In 2020, North America (EI) consumed how much of coal in terms of TWh?",2768.85 TWh
"In 2021, North America (EI) consumed how much of coal in terms of TWh?",3123.26 TWh
"In 2022, North America (EI) consumed how much of coal in terms of TWh?",2927.79 TWh
"In 2023, North America (EI) consumed how much of coal in terms of TWh?",2453.16 TWh
"In 1990, North Macedonia consumed how much of coal in terms of TWh?",15.47 TWh
"In 1991, North Macedonia consumed how much of coal in terms of TWh?",15.53 TWh
"In 1992, North Macedonia consumed how much of coal in terms of TWh?",15.44 TWh
"In 1993, North Macedonia consumed how much of coal in terms of TWh?",15.52 TWh
"In 1994, North Macedonia consumed how much of coal in terms of TWh?",16.12 TWh
"In 1995, North Macedonia consumed how much of coal in terms of TWh?",16.63 TWh
"In 1996, North Macedonia consumed how much of coal in terms of TWh?",16.09 TWh
"In 1997, North Macedonia consumed how much of coal in terms of TWh?",15.05 TWh
"In 1998, North Macedonia consumed how much of coal in terms of TWh?",19.46 TWh
"In 1999, North Macedonia consumed how much of coal in terms of TWh?",16.97 TWh
"In 2000, North Macedonia consumed how much of coal in terms of TWh?",15.54 TWh
"In 2001, North Macedonia consumed how much of coal in terms of TWh?",17.19 TWh
"In 2002, North Macedonia consumed how much of coal in terms of TWh?",14.94 TWh
"In 2003, North Macedonia consumed how much of coal in terms of TWh?",17.21 TWh
"In 2004, North Macedonia consumed how much of coal in terms of TWh?",16.35 TWh
"In 2005, North Macedonia consumed how much of coal in terms of TWh?",16.97 TWh
"In 2006, North Macedonia consumed how much of coal in terms of TWh?",16.49 TWh
"In 2007, North Macedonia consumed how much of coal in terms of TWh?",16.92 TWh
"In 2008, North Macedonia consumed how much of coal in terms of TWh?",17.34 TWh
"In 2009, North Macedonia consumed how much of coal in terms of TWh?",15.55 TWh
"In 2010, North Macedonia consumed how much of coal in terms of TWh?",15.06 TWh
"In 2011, North Macedonia consumed how much of coal in terms of TWh?",17.20 TWh
"In 2012, North Macedonia consumed how much of coal in terms of TWh?",16.19 TWh
"In 2013, North Macedonia consumed how much of coal in terms of TWh?",13.54 TWh
"In 2014, North Macedonia consumed how much of coal in terms of TWh?",12.53 TWh
"In 2015, North Macedonia consumed how much of coal in terms of TWh?",11.30 TWh
"In 2016, North Macedonia consumed how much of coal in terms of TWh?",10.19 TWh
"In 2017, North Macedonia consumed how much of coal in terms of TWh?",11.14 TWh
"In 2018, North Macedonia consumed how much of coal in terms of TWh?",10.05 TWh
"In 2019, North Macedonia consumed how much of coal in terms of TWh?",11.91 TWh
"In 2020, North Macedonia consumed how much of coal in terms of TWh?",8.81 TWh
"In 2021, North Macedonia consumed how much of coal in terms of TWh?",7.75 TWh
"In 2022, North Macedonia consumed how much of coal in terms of TWh?",9.77 TWh
"In 2023, North Macedonia consumed how much of coal in terms of TWh?",10.30 TWh
"In 1965, Norway consumed how much of coal in terms of TWh?",8.88 TWh
"In 1966, Norway consumed how much of coal in terms of TWh?",8.17 TWh
"In 1967, Norway consumed how much of coal in terms of TWh?",8.58 TWh
"In 1968, Norway consumed how much of coal in terms of TWh?",8.73 TWh
"In 1969, Norway consumed how much of coal in terms of TWh?",9.73 TWh
"In 1970, Norway consumed how much of coal in terms of TWh?",9.94 TWh
"In 1971, Norway consumed how much of coal in terms of TWh?",9.35 TWh
"In 1972, Norway consumed how much of coal in terms of TWh?",10.15 TWh
"In 1973, Norway consumed how much of coal in terms of TWh?",10.91 TWh
"In 1974, Norway consumed how much of coal in terms of TWh?",12.10 TWh
"In 1975, Norway consumed how much of coal in terms of TWh?",11.50 TWh
"In 1976, Norway consumed how much of coal in terms of TWh?",11.10 TWh
"In 1977, Norway consumed how much of coal in terms of TWh?",9.56 TWh
"In 1978, Norway consumed how much of coal in terms of TWh?",9.85 TWh
"In 1979, Norway consumed how much of coal in terms of TWh?",12.26 TWh
"In 1980, Norway consumed how much of coal in terms of TWh?",11.35 TWh
"In 1981, Norway consumed how much of coal in terms of TWh?",11.37 TWh
"In 1982, Norway consumed how much of coal in terms of TWh?",10.94 TWh
"In 1983, Norway consumed how much of coal in terms of TWh?",11.65 TWh
"In 1984, Norway consumed how much of coal in terms of TWh?",13.07 TWh
"In 1985, Norway consumed how much of coal in terms of TWh?",13.01 TWh
"In 1986, Norway consumed how much of coal in terms of TWh?",11.60 TWh
"In 1987, Norway consumed how much of coal in terms of TWh?",11.20 TWh
"In 1988, Norway consumed how much of coal in terms of TWh?",11.50 TWh
"In 1989, Norway consumed how much of coal in terms of TWh?",10.08 TWh
"In 1990, Norway consumed how much of coal in terms of TWh?",9.44 TWh
"In 1991, Norway consumed how much of coal in terms of TWh?",8.40 TWh
"In 1992, Norway consumed how much of coal in terms of TWh?",8.44 TWh
"In 1993, Norway consumed how much of coal in terms of TWh?",9.13 TWh
"In 1994, Norway consumed how much of coal in terms of TWh?",10.29 TWh
"In 1995, Norway consumed how much of coal in terms of TWh?",11.23 TWh
"In 1996, Norway consumed how much of coal in terms of TWh?",11.17 TWh
"In 1997, Norway consumed how much of coal in terms of TWh?",11.08 TWh
"In 1998, Norway consumed how much of coal in terms of TWh?",12.03 TWh
"In 1999, Norway consumed how much of coal in terms of TWh?",11.27 TWh
"In 2000, Norway consumed how much of coal in terms of TWh?",11.55 TWh
"In 2001, Norway consumed how much of coal in terms of TWh?",10.29 TWh
"In 2002, Norway consumed how much of coal in terms of TWh?",8.92 TWh
"In 2003, Norway consumed how much of coal in terms of TWh?",8.71 TWh
"In 2004, Norway consumed how much of coal in terms of TWh?",9.84 TWh
"In 2005, Norway consumed how much of coal in terms of TWh?",8.40 TWh
"In 2006, Norway consumed how much of coal in terms of TWh?",7.20 TWh
"In 2007, Norway consumed how much of coal in terms of TWh?",7.92 TWh
"In 2008, Norway consumed how much of coal in terms of TWh?",8.17 TWh
"In 2009, Norway consumed how much of coal in terms of TWh?",6.50 TWh
"In 2010, Norway consumed how much of coal in terms of TWh?",8.86 TWh
"In 2011, Norway consumed how much of coal in terms of TWh?",9.83 TWh
"In 2012, Norway consumed how much of coal in terms of TWh?",9.53 TWh
"In 2013, Norway consumed how much of coal in terms of TWh?",9.03 TWh
"In 2014, Norway consumed how much of coal in terms of TWh?",9.89 TWh
"In 2015, Norway consumed how much of coal in terms of TWh?",8.86 TWh
"In 2016, Norway consumed how much of coal in terms of TWh?",9.10 TWh
"In 2017, Norway consumed how much of coal in terms of TWh?",9.51 TWh
"In 2018, Norway consumed how much of coal in terms of TWh?",9.29 TWh
"In 2019, Norway consumed how much of coal in terms of TWh?",9.07 TWh
"In 2020, Norway consumed how much of coal in terms of TWh?",8.98 TWh
"In 2021, Norway consumed how much of coal in terms of TWh?",9.79 TWh
"In 2022, Norway consumed how much of coal in terms of TWh?",9.37 TWh
"In 2023, Norway consumed how much of coal in terms of TWh?",9.62 TWh
"In 1965, OECD (EI) consumed how much of coal in terms of TWh?",10201.04 TWh
"In 1966, OECD (EI) consumed how much of coal in terms of TWh?",10153.84 TWh
"In 1967, OECD (EI) consumed how much of coal in terms of TWh?",9964.01 TWh
"In 1968, OECD (EI) consumed how much of coal in terms of TWh?",10182.81 TWh
"In 1969, OECD (EI) consumed how much of coal in terms of TWh?",10314.32 TWh
"In 1970, OECD (EI) consumed how much of coal in terms of TWh?",10160.69 TWh
"In 1971, OECD (EI) consumed how much of coal in terms of TWh?",9631.03 TWh
"In 1972, OECD (EI) consumed how much of coal in terms of TWh?",9554.10 TWh
"In 1973, OECD (EI) consumed how much of coal in terms of TWh?",9945.13 TWh
"In 1974, OECD (EI) consumed how much of coal in terms of TWh?",9864.67 TWh
"In 1975, OECD (EI) consumed how much of coal in terms of TWh?",9693.24 TWh
"In 1976, OECD (EI) consumed how much of coal in terms of TWh?",10216.27 TWh
"In 1977, OECD (EI) consumed how much of coal in terms of TWh?",10364.31 TWh
"In 1978, OECD (EI) consumed how much of coal in terms of TWh?",10274.85 TWh
"In 1979, OECD (EI) consumed how much of coal in terms of TWh?",10901.90 TWh
"In 1980, OECD (EI) consumed how much of coal in terms of TWh?",11296.55 TWh
"In 1981, OECD (EI) consumed how much of coal in terms of TWh?",11406.31 TWh
"In 1982, OECD (EI) consumed how much of coal in terms of TWh?",11266.69 TWh
"In 1983, OECD (EI) consumed how much of coal in terms of TWh?",11486.76 TWh
"In 1984, OECD (EI) consumed how much of coal in terms of TWh?",11976.69 TWh
"In 1985, OECD (EI) consumed how much of coal in terms of TWh?",12485.60 TWh
"In 1986, OECD (EI) consumed how much of coal in terms of TWh?",12326.73 TWh
"In 1987, OECD (EI) consumed how much of coal in terms of TWh?",12670.34 TWh
"In 1988, OECD (EI) consumed how much of coal in terms of TWh?",12922.03 TWh
"In 1989, OECD (EI) consumed how much of coal in terms of TWh?",13015.33 TWh
"In 1990, OECD (EI) consumed how much of coal in terms of TWh?",12673.93 TWh
"In 1991, OECD (EI) consumed how much of coal in terms of TWh?",12405.27 TWh
"In 1992, OECD (EI) consumed how much of coal in terms of TWh?",12098.47 TWh
"In 1993, OECD (EI) consumed how much of coal in terms of TWh?",12026.44 TWh
"In 1994, OECD (EI) consumed how much of coal in terms of TWh?",12028.58 TWh
"In 1995, OECD (EI) consumed how much of coal in terms of TWh?",12099.59 TWh
"In 1996, OECD (EI) consumed how much of coal in terms of TWh?",12473.94 TWh
"In 1997, OECD (EI) consumed how much of coal in terms of TWh?",12577.60 TWh
"In 1998, OECD (EI) consumed how much of coal in terms of TWh?",12506.99 TWh
"In 1999, OECD (EI) consumed how much of coal in terms of TWh?",12388.43 TWh
"In 2000, OECD (EI) consumed how much of coal in terms of TWh?",12912.58 TWh
"In 2001, OECD (EI) consumed how much of coal in terms of TWh?",12756.84 TWh
"In 2002, OECD (EI) consumed how much of coal in terms of TWh?",12928.95 TWh
"In 2003, OECD (EI) consumed how much of coal in terms of TWh?",13229.97 TWh
"In 2004, OECD (EI) consumed how much of coal in terms of TWh?",13289.35 TWh
"In 2005, OECD (EI) consumed how much of coal in terms of TWh?",13378.87 TWh
"In 2006, OECD (EI) consumed how much of coal in terms of TWh?",13491.40 TWh
"In 2007, OECD (EI) consumed how much of coal in terms of TWh?",13704.43 TWh
"In 2008, OECD (EI) consumed how much of coal in terms of TWh?",13461.81 TWh
"In 2009, OECD (EI) consumed how much of coal in terms of TWh?",12041.98 TWh
"In 2010, OECD (EI) consumed how much of coal in terms of TWh?",12775.67 TWh
"In 2011, OECD (EI) consumed how much of coal in terms of TWh?",12533.09 TWh
"In 2012, OECD (EI) consumed how much of coal in terms of TWh?",12027.87 TWh
"In 2013, OECD (EI) consumed how much of coal in terms of TWh?",12136.46 TWh
"In 2014, OECD (EI) consumed how much of coal in terms of TWh?",11937.24 TWh
"In 2015, OECD (EI) consumed how much of coal in terms of TWh?",11171.42 TWh
"In 2016, OECD (EI) consumed how much of coal in terms of TWh?",10557.59 TWh
"In 2017, OECD (EI) consumed how much of coal in terms of TWh?",10479.76 TWh
"In 2018, OECD (EI) consumed how much of coal in terms of TWh?",10111.88 TWh
"In 2019, OECD (EI) consumed how much of coal in terms of TWh?",8967.44 TWh
"In 2020, OECD (EI) consumed how much of coal in terms of TWh?",7661.06 TWh
"In 2021, OECD (EI) consumed how much of coal in terms of TWh?",8322.97 TWh
"In 2022, OECD (EI) consumed how much of coal in terms of TWh?",8022.40 TWh
"In 2023, OECD (EI) consumed how much of coal in terms of TWh?",6986.01 TWh
"In 1965, Oceania consumed how much of coal in terms of TWh?",221.16 TWh
"In 1966, Oceania consumed how much of coal in terms of TWh?",228.00 TWh
"In 1967, Oceania consumed how much of coal in terms of TWh?",232.24 TWh
"In 1968, Oceania consumed how much of coal in terms of TWh?",237.69 TWh
"In 1969, Oceania consumed how much of coal in terms of TWh?",245.68 TWh
"In 1970, Oceania consumed how much of coal in terms of TWh?",248.10 TWh
"In 1971, Oceania consumed how much of coal in terms of TWh?",247.17 TWh
"In 1972, Oceania consumed how much of coal in terms of TWh?",257.89 TWh
"In 1973, Oceania consumed how much of coal in terms of TWh?",269.93 TWh
"In 1974, Oceania consumed how much of coal in terms of TWh?",281.51 TWh
"In 1975, Oceania consumed how much of coal in terms of TWh?",288.96 TWh
"In 1976, Oceania consumed how much of coal in terms of TWh?",298.71 TWh
"In 1977, Oceania consumed how much of coal in terms of TWh?",310.29 TWh
"In 1978, Oceania consumed how much of coal in terms of TWh?",316.72 TWh
"In 1979, Oceania consumed how much of coal in terms of TWh?",328.79 TWh
"In 1980, Oceania consumed how much of coal in terms of TWh?",338.39 TWh
"In 1981, Oceania consumed how much of coal in terms of TWh?",346.72 TWh
"In 1982, Oceania consumed how much of coal in terms of TWh?",349.99 TWh
"In 1983, Oceania consumed how much of coal in terms of TWh?",351.30 TWh
"In 1984, Oceania consumed how much of coal in terms of TWh?",369.62 TWh
"In 1985, Oceania consumed how much of coal in terms of TWh?",380.80 TWh
"In 1986, Oceania consumed how much of coal in terms of TWh?",392.04 TWh
"In 1987, Oceania consumed how much of coal in terms of TWh?",405.51 TWh
"In 1988, Oceania consumed how much of coal in terms of TWh?",426.93 TWh
"In 1989, Oceania consumed how much of coal in terms of TWh?",448.29 TWh
"In 1990, Oceania consumed how much of coal in terms of TWh?",458.28 TWh
"In 1991, Oceania consumed how much of coal in terms of TWh?",466.54 TWh
"In 1992, Oceania consumed how much of coal in terms of TWh?",470.58 TWh
"In 1993, Oceania consumed how much of coal in terms of TWh?",473.30 TWh
"In 1994, Oceania consumed how much of coal in terms of TWh?",481.88 TWh
"In 1995, Oceania consumed how much of coal in terms of TWh?",497.82 TWh
"In 1996, Oceania consumed how much of coal in terms of TWh?",517.42 TWh
"In 1997, Oceania consumed how much of coal in terms of TWh?",543.99 TWh
"In 1998, Oceania consumed how much of coal in terms of TWh?",566.33 TWh
"In 1999, Oceania consumed how much of coal in terms of TWh?",601.01 TWh
"In 2000, Oceania consumed how much of coal in terms of TWh?",604.52 TWh
"In 2001, Oceania consumed how much of coal in terms of TWh?",601.62 TWh
"In 2002, Oceania consumed how much of coal in terms of TWh?",614.79 TWh
"In 2003, Oceania consumed how much of coal in terms of TWh?",639.00 TWh
"In 2004, Oceania consumed how much of coal in terms of TWh?",665.66 TWh
"In 2005, Oceania consumed how much of coal in terms of TWh?",664.65 TWh
"In 2006, Oceania consumed how much of coal in terms of TWh?",681.52 TWh
"In 2007, Oceania consumed how much of coal in terms of TWh?",669.52 TWh
"In 2008, Oceania consumed how much of coal in terms of TWh?",701.76 TWh
"In 2009, Oceania consumed how much of coal in terms of TWh?",673.68 TWh
"In 2010, Oceania consumed how much of coal in terms of TWh?",623.47 TWh
"In 2011, Oceania consumed how much of coal in terms of TWh?",608.33 TWh
"In 2012, Oceania consumed how much of coal in terms of TWh?",574.74 TWh
"In 2013, Oceania consumed how much of coal in terms of TWh?",544.12 TWh
"In 2014, Oceania consumed how much of coal in terms of TWh?",538.40 TWh
"In 2015, Oceania consumed how much of coal in terms of TWh?",557.08 TWh
"In 2016, Oceania consumed how much of coal in terms of TWh?",553.86 TWh
"In 2017, Oceania consumed how much of coal in terms of TWh?",536.06 TWh
"In 2018, Oceania consumed how much of coal in terms of TWh?",524.56 TWh
"In 2019, Oceania consumed how much of coal in terms of TWh?",503.04 TWh
"In 2020, Oceania consumed how much of coal in terms of TWh?",483.82 TWh
"In 2021, Oceania consumed how much of coal in terms of TWh?",470.84 TWh
"In 2022, Oceania consumed how much of coal in terms of TWh?",441.75 TWh
"In 2023, Oceania consumed how much of coal in terms of TWh?",430.40 TWh
"In 1994, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 1995, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 1996, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 1997, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 1998, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 1999, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2000, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2001, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2002, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2003, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2004, Oman consumed how much of coal in terms of TWh?",0.01 TWh
"In 2005, Oman consumed how much of coal in terms of TWh?",0.00 TWh
"In 2006, Oman consumed how much of coal in terms of TWh?",0.04 TWh
"In 2007, Oman consumed how much of coal in terms of TWh?",0.01 TWh
"In 2008, Oman consumed how much of coal in terms of TWh?",0.01 TWh
"In 2009, Oman consumed how much of coal in terms of TWh?",0.02 TWh
"In 2010, Oman consumed how much of coal in terms of TWh?",0.34 TWh
"In 2011, Oman consumed how much of coal in terms of TWh?",0.12 TWh
"In 2012, Oman consumed how much of coal in terms of TWh?",0.36 TWh
"In 2013, Oman consumed how much of coal in terms of TWh?",0.52 TWh
"In 2014, Oman consumed how much of coal in terms of TWh?",0.42 TWh
"In 2015, Oman consumed how much of coal in terms of TWh?",0.57 TWh
"In 2016, Oman consumed how much of coal in terms of TWh?",0.64 TWh
"In 2017, Oman consumed how much of coal in terms of TWh?",0.88 TWh
"In 2018, Oman consumed how much of coal in terms of TWh?",0.87 TWh
"In 2019, Oman consumed how much of coal in terms of TWh?",0.98 TWh
"In 2020, Oman consumed how much of coal in terms of TWh?",1.12 TWh
"In 2021, Oman consumed how much of coal in terms of TWh?",0.98 TWh
"In 2022, Oman consumed how much of coal in terms of TWh?",1.41 TWh
"In 2023, Oman consumed how much of coal in terms of TWh?",1.41 TWh
"In 1965, Pakistan consumed how much of coal in terms of TWh?",16.04 TWh
"In 1966, Pakistan consumed how much of coal in terms of TWh?",13.54 TWh
"In 1967, Pakistan consumed how much of coal in terms of TWh?",13.00 TWh
"In 1968, Pakistan consumed how much of coal in terms of TWh?",14.32 TWh
"In 1969, Pakistan consumed how much of coal in terms of TWh?",12.89 TWh
"In 1970, Pakistan consumed how much of coal in terms of TWh?",10.73 TWh
"In 1971, Pakistan consumed how much of coal in terms of TWh?",7.23 TWh
